audio_path,transcription,speaker
dataset_fon\emmanuel\emmanuel_fongbe_corp011_045.wav,sin ɔ gba gbe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_046.wav,tɔ ɔ gba jinukun lε bi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_047.wav,un na sε wema elɔ do nɔvi ce gbɔn posu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_048.wav,e ɖo ganbaɖa nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_049.wav,zingidi gεyin wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_050.wav,nu gεyingεyin,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_051.wav,akwε e ɖasi ce ɔ bi vɔ gbidigbidi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_052.wav,azɔn gbε do mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_053.wav,e ɖo geɖee,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_054.wav,e nyi gεn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_055.wav,e dan hun gbɔn fi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_056.wav,nɔcyɔvi ɔ nɔ sa lele,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_057.wav,hwε lo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_058.wav,e wa lobo ɖu nu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_059.wav,un wa bε yi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_060.wav,e jε gle ɖo fi ε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_061.wav,nu ci kɔ ni bɔ e ganja,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_062.wav,e gan jε azinkpo mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_063.wav,jonɔ wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_064.wav,dosu wun sin nu jonɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_065.wav,gla se a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_066.wav,mi gla,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_067.wav,nyε we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_068.wav,ye ɖo fi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_069.wav,wemaxɔmεvi wε nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_070.wav,nutε hwε a nɔ kplɔn ɖo wemaxɔmε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_071.wav,ye wε ɖu we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_072.wav,e sɔgbe gbannana,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_073.wav,towe gbε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_074.wav,mi gbeje xo ɔ kpɔn ganji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_075.wav,hwezivɔ gbε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp011_076.wav,e gba jε mε nu xo ɔ ganji a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_001.wav,nu nε a blo ɔ e gble xomε nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_002.wav,e gble xomε do mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_003.wav,gbowele sin xomε bo syɔ hun ɖo tɔ ji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_004.wav,adɔn gεnnyigεnnyi ɖie jayi e,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_005.wav,un gɔ xo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_006.wav,xo gɔ mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_007.wav,e gbε ɖɔ ye kun blo mɔ o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_008.wav,e do gesi mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_009.wav,e ɖo glagla blo wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_010.wav,e ɖo glagla ɖu wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_011.wav,kεkε tɔn sin gan nɔ ɖɔ glεwun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_012.wav,nu gangan wε blo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_013.wav,nε a blo gbɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_014.wav,e blo ɖo ganji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_015.wav,e blo ɖo gan tɔn ji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_016.wav,e blo ganji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_017.wav,e blo ganji tɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_018.wav,e blo gadagada bo jayi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_019.wav,e nɔ blo gangannagansu din,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_020.wav,e nɔ ge nu din,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_021.wav,ye ɖo zingidi ɖu wε gannyii,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_022.wav,nabi wε nyi ga tɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_023.wav,akwε gbo vε mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_024.wav,nɔvi ce na wa godogodo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_025.wav,asi towe lo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_026.wav,ye bli awinnya gidigbaja ɖe do su yɔ ɔ na,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_027.wav,vi lε mi ɖu xwe ganji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_028.wav,kinikini nɔ go,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_029.wav,fevi ɔ do dε gblεlεε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_030.wav,vi tɔn ɖie a mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_031.wav,mi mɔ xwe fufo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_032.wav,fufo nu azɔ ɔ tɔin ɖie,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_033.wav,e wa yi gbe ɖɔ emi wu wε sɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_034.wav,ganxixo nabi a na do fo azɔ ɔ na,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_035.wav,ganxixo nabi mε a na fo azɔ ɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_036.wav,un ɖo na fo wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_037.wav,e na gbeta,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_038.wav,ye gbo e do dajo kɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_039.wav,a wa fi hweɖebunu ɔ mi nɔ ɖu nu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_040.wav,nɔ ce kplan mi yi dɔn azɔn ɖokpo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_041.wav,xo ɔ gbɔjɔ lanmε nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_042.wav,lanmε ce gbɔjɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_043.wav,e yi i dasi ce gannugannu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_044.wav,e xa gblagada ɔ e nɔ lε xa klobotwe ou go dwee,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_045.wav,ahan elɔ gla,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_046.wav,jɔhɔn gbagbagugu ɖe nyi sɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_047.wav,hwezivɔ glala ɖe wε hun egbe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_048.wav,un jɔ fun de mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_049.wav,gbεmε fa,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_050.wav,hanlan kpɔnwun wo nu nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_051.wav,e xuxu hɔn nu mi gogogo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_052.wav,e gba nu mi kpo kwin kpo bε ci gɔɖɔɖɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_053.wav,jɔhɔn gbε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_054.wav,gbε ɔ tɔdema wε e nɔ xo yi ɖisi e nɔ xo yi amyɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_055.wav,jɔhɔn gbε ba kpo ɖo gokle mɔ a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_056.wav,nukɔn ce ɖo go,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_057.wav,e nɔ wu go ɖo nukɔn bo nɔ ze hwla a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_058.wav,gingin wu tɔn ganji ni mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_059.wav,e gingin nεgbe do do wu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_060.wav,un gingin afɔ do kɔ mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_061.wav,un gin biki ce do wema ɔ ji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_062.wav,un na nyi ajotɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_063.wav,ye ɖo gbojlaka ɖu wε bo jayi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_064.wav,tɔ tɔn kpo nɔvi tɔn lε kpan hεn kεɖεε govi tɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_065.wav,e gli hun tɔn ɖo hɔn to,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_066.wav,e wa gɔa hun ɖo tɔ ɔ to,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_067.wav,e gu akwε tɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_068.wav,e gu eɖee,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_069.wav,e hεn linlin ce gble,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_070.wav,vi ɔ gble bε yi kɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_071.wav,e gble din,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_072.wav,eo mawu kun nɔ blε mε lε o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_073.wav,nutitε ce tɔn sin gbluwun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_074.wav,e jε gban,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_075.wav,afɔkpa gbla afɔ nu we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_076.wav,avun su ɖaxo sɔ hla a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_077.wav,a ko winnya bi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_078.wav,e su gajaa,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_079.wav,ajaka savɔ ma sɔ glεnzin ganhunu mεtɔn mεtɔn wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_080.wav,e jε gbεn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_081.wav,nyaɖe xwe kwekwetin ji bo jayi nuɖe glo mε ɔ e nɔ jo do,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_082.wav,nyavi nε ɔ ɖo ta gowungowun ɖe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_083.wav,e ɖo ke glεjεglεjε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_084.wav,e klo gbawun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_085.wav,un mɔ nyibu gojogojo ɖokpo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_086.wav,vi elɔ ɖo nu gεjεε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_087.wav,dada ce sin anya ci futuu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_088.wav,vi tɔn sin ta klo bo ci gbεwun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_089.wav,hwε nyavi elɔ gbo fin din,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_090.wav,e gble taɖu ni,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_091.wav,e gble taɖumε ni,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_092.wav,εεn e gbɔ bi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_093.wav,azɔn towe gbɔ a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_094.wav,azɔn ɔ gble do mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_095.wav,azɔn na gbɔ nu vi towe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_096.wav,mεsi gɔn wε un ɖe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_097.wav,e nɔ nɔ hwεgbo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_098.wav,un nɔ nɔ ajowun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_099.wav,gayεnu tɔn e un wa gɔn towe ɔ un mɔ we a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_100.wav,e fya jawe kpodo gbεtɔ afɔwe kpan,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_101.wav,un ɖo aga,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_102.wav,un sɔ ɖu axɔ ɖe do we a mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_103.wav,gan dokpo adaɖe mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_104.wav,ganxixo ɖokpo mε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_105.wav,gan we xo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_106.wav,gan nabi wε xo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_107.wav,a ɖu vi gbε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_108.wav,e xo aglo mi gblawun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_109.wav,vi e wa sɔ ɔ ko hɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_110.wav,un nyi ganbloɖotɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp012_111.wav,e fyɔn wu nu mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_001.wav,gbɔn de gbɔn de,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_002.wav,e ko yi xwe εnε bɔ e wa fi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_003.wav,ye ɖo fi ɖayi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_004.wav,ye na ɖo fi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_005.wav,un ɖo fi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_006.wav,e jawee,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_007.wav,e glo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_008.wav,e glo mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_009.wav,ase ma ɖo xwe a ɔ ajaka nɔ jε glojo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_010.wav,nu ti glo mawu a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_011.wav,nuɖe ma gbayi do nu mi o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_012.wav,titigweti yi kpɔn mε bo lε kε mεɖe mɔ gbε bo gbε a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_013.wav,ye zun i kaka bε gbɔ bo tin,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_014.wav,un ɖo eyε zun wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_015.wav,ma zun mi o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_016.wav,e gbε nu ye ɖɔ ye ma ɖu o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_017.wav,e gu mε hu gbojɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_018.wav,un blo gbeɖe kpɔn a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_019.wav,un ɖu lan enε kpɔn a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_020.wav,un na wa gɔn towe gbeɖe a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_021.wav,nyε mɔ we kpɔn a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_022.wav,un ɖo akwε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_023.wav,un gosin amerika tomε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_024.wav,jan tɔn wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_025.wav,mε ε nɔ sɔ nu nyi gbe ɔ wε nɔ mɔ nu sɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_026.wav,sɔ nyi gbe a na yi mɔ sɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_027.wav,e winya ɖyɔvi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_028.wav,ganganwunxotɔ ɖɔ adɔ mε wε gan ɖe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_029.wav,e su gbe ɖe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_030.wav,un mɔ ε ɖazan nε ɔ gbe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_031.wav,fɔngbe vε nu mi bo mi ɖesu mi na kplɔn bo na se kaka jε lo lε ji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_032.wav,e ma sɔgbe nε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp013_033.wav,kokoko,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_001.wav,e ɖo dɔn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_002.wav,yi lε gle hwε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_003.wav,avɔ ɔ jo fun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_004.wav,vi elɔ ɖo gbεvi han do wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_005.wav,gbεmεvi ce ɖe un na ya ɖie,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_006.wav,kpɔn zunta bo nyi ga,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_007.wav,un nɔ kplɔn gbe susu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_008.wav,xɔ e mε un damlɔ ɖe ɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_009.wav,awu elɔ gbla mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_010.wav,ali ɔ gblo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_011.wav,un lε wu ɖayi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_012.wav,a ma na blo ace,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_013.wav,agban fuɖafuɖa wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_014.wav,naki kɔ nε ɔ fuɖa ɖesu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_015.wav,ɖetε a jlo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_016.wav,e xo ye,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_017.wav,wema ɔ ɖie a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_018.wav,e ci te gbagbaɖa bo diɖo,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_019.wav,un ze gulɔ yi ji nu we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_020.wav,un ze gulɔ yi ji nu we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_021.wav,mε tɔn wε wema elɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_022.wav,to linlin mε wε un gosin,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_023.wav,dan ɔ ɖi ga gblɔlɔɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_024.wav,gbogbo nε ɔ jεn ɖie,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_025.wav,hwenu ee a byɔ xɔmε ɔ un mɔ we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_026.wav,to na kpε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_027.wav,e kpεn,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_028.wav,etɔn wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_029.wav,eyε wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_030.wav,e ɖesu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_031.wav,mi nɔ sɔ alɔ mitɔn lε do wazɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_032.wav,nε un ka na wa gbɔn din,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_033.wav,bo ɖo din ɔ fitε a xwe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_034.wav,e jayi amɔ e gble wu a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_035.wav,gbade ɖe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_036.wav,a ka jlo wɔ kpo nusɔnu kpo fevi kpo ɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_037.wav,e ɖo xwe gbe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_038.wav,un ɖo nu ɖu ɖo xwe gbe wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_039.wav,e nyi mεsi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_040.wav,a blo azɔ towe gbɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_041.wav,atin elɔ wu ganji a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_042.wav,e na fun mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_043.wav,xomε ce gble,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_044.wav,un ɖazɔn jε wε enε wu wε un yi doto xwe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_045.wav,vi ce jazɔn kaka bo ci ganmaganma,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_046.wav,un gbɔ bo yi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_047.wav,adan gbo mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_048.wav,nya elɔ ɔ gbεdonɔ ɖaxo wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_049.wav,a ɖu vi gbε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_050.wav,un ɖu nu fo trolo jεn a ylɔ mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_051.wav,e ɖu gali,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_052.wav,e ɖu wɔ ganlin we,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_053.wav,e ɖu nu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_054.wav,e ɖo nu ɖu wε ɖayi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_055.wav,e gɔn nu ɖu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_056.wav,aɖu ma ɖu gantin,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_057.wav,ma ɖu nu o,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_058.wav,a ɖo gbεn towe blo wε a,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_059.wav,e xo bɔlu ɔ gbla,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_060.wav,e gbɔ kpowun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_061.wav,un xo kpakpa ɔ gbla,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_062.wav,un gbɔ hun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_063.wav,avun wε han bɔ lεngbɔ ɖo gba nya wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_064.wav,un gɔn azɔmε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_065.wav,alɔdudo towe hu do mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_066.wav,nu ɖokpo gee jεn hu do mi,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_067.wav,gbawunjonɔ ɖie,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_068.wav,nataa ja le ɔ gbεtɔ nɔ su kpɔ,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_069.wav,e gla awa bo ɖo zɔnlin ɖi wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_070.wav,e nɔ ɖi zɔnlin gbagbaɖa gbagbaɖa,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_071.wav,e ɖo yiyi ganji,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_072.wav,gan ce ɖazɔ wa wε,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_073.wav,e fɔn zanzan fuu,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_074.wav,xɔ ɔ mε bi nɔ hwεn wan gungungun,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_075.wav,nyε ɖie,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_076.wav,nyε ɖesu un ɖo ɖagbe,emmanuel
dataset_fon\emmanuel\emmanuel_fongbe_corp014_077.wav,mε elɔ nyila hun din,emmanuel
